iter	Passed	Remaining
375	24532	301698
376	24598	301635
377	24634	301224
378	24695	301105
379	24760	301029
380	24833	301070
381	24895	300961
382	24937	300622
383	24996	300478
384	25053	300317
385	25100	300035
386	25161	299919
387	25215	299725
388	25277	299628
389	25339	299526
390	25359	298932
391	25418	298796
392	25474	298632
393	25531	298466
394	25587	298306
395	25631	298004
396	25692	297887
397	25748	297722
398	25801	297522
399	25870	297513
400	25952	297644
401	26032	297751
402	26106	297791
403	26162	297635
404	26226	297559
405	26286	297435
406	26350	297362
407	26405	297196
408	26462	297034
409	26533	297041
410	26600	297001
411	26674	297043
412	26730	296881
413	26797	296844
414	26860	296764
415	26923	296679
416	26994	296675
417	27061	296638
418	27124	296553
419	27189	296498
420	27249	296383
421	27316	296339
422	27362	296073
423	27421	295947
424	27502	296051
425	27573	296054
426	27638	296001
427	27702	295929
428	27787	296075
429	27891	296429
430	27951	296317
431	28012	296207
432	28110	296496
433	28226	296965
434	28297	296965
435	28372	297003
436	28458	297156
437	28522	297077
438	28592	297058
439	28669	297120
440	28735	297061
441	28815	297151
442	28872	296999
443	28930	296864
444	28975	296593
445	29025	296373
446	29087	296280
447	29124	295925
448	29191	295876
449	29250	295755
450	29315	295690
451	29385	295679
452	29475	295857
453	29557	295966
454	29633	296013
455	29732	296284
456	29794	296186
457	29846	295990
458	29914	295951
459	29980	295895
460	30032	295698
461	30084	295503
462	30141	295358
463	30194	295173
464	30259	295115
465	30289	294700
466	30359	294688
467	30435	294732
468	30641	296025
469	30723	296118
470	30794	296108
471	30866	296112
472	30941	296137
473	31013	296133
474	31083	296113
475	31143	295997
476	31215	295987
477	31272	295845
478	31338	295789
479	31380	295502
480	31441	295393
481	31532	295568
482	31628	295785
483	31702	295802
484	31775	295809
485	31822	295573
486	31882	295449
487	31957	295471
488	32009	295286
489	32066	295143
490	32125	295022
491	32184	294892
492	32244	294776
493	32307	294693
494	32354	294454
495	32413	294332
496	32485	294328
497	32545	294213
498	32603	294083
499	32674	294067
500	32733	293946
501	32780	293719
502	32843	293636
503	32910	293583
504	32962	293396
505	33021	293280
506	33079	293146
507	33127	292928
508	33184	292797
509	33238	292626
510	33299	292529
511	33373	292540
512	33444	292524
513	33513	292495
514	33587	292503
515	33650	292417
516	33696	292192
517	33758	292097
518	33822	292017
519	33891	291991
520	33961	291965
521	34028	291914
522	34080	291737
523	34144	291665
524	34205	291561
525	34252	291343
526	34312	291232
527	34365	291061
528	34411	290842
529	34473	290750
530	34532	290631
531	34597	290567
532	34657	290459
533	34704	290247
534	34766	290149
535	34813	289937
536	34885	289930
537	34945	289824
538	34995	289638
539	35052	289505
540	35113	289411
541	35160	289197
542	35215	289050
543	35271	288916
544	35319	288712
545	35364	288488
546	35428	288412
547	35481	288251
548	35542	288159
549	35604	288070
550	35667	287992
551	35729	287906
552	35789	287805
553	35850	287712
554	35909	287601
555	35969	287493
556	36026	287369
557	36074	287174
558	36122	286972
559	36169	286773
560	36225	286639
561	36281	286503
562	36357	286532
563	36419	286451
564	36489	286426
565	36546	286298
566	36609	286227
567	36672	286145
568	36735	286068
569	36790	285934
570	36853	285860
571	36917	285787
572	36978	285693
573	37038	285596
574	37107	285566
575	37182	285585
576	37238	285454
577	37311	285448
578	37372	285358
579	37434	285274
580	37498	285205
581	37553	285070
582	37613	284970
583	37671	284860
584	37731	284757
585	37792	284669
586	37859	284620
587	37919	284527
588	37979	284428
589	38028	284244
