iter	RMSE
408	578.3591679
409	578.3224981
410	578.2877703
411	577.9576187
412	577.8446114
413	577.8381131
414	577.732606
415	577.6445396
416	577.6387208
417	577.6194487
418	577.507766
419	577.4892048
420	577.4689915
421	577.4600033
422	577.4552099
423	577.4484582
424	577.4214112
425	577.3159584
426	577.2821641
427	577.1693375
428	577.1593649
429	577.0947982
430	576.9942258
431	576.8754388
432	576.8732598
433	576.8170642
434	576.812231
435	576.7969941
436	576.7209824
437	576.7036704
438	576.6941848
439	576.5846599
440	576.5650101
441	576.5628081
442	576.5609811
443	576.5557324
444	576.541345
445	576.5367424
446	576.5170416
447	576.5138565
448	576.4650692
449	576.463422
450	576.392185
451	576.3877841
452	576.3526855
453	576.258259
454	576.2511368
455	576.1726286
456	576.1693047
457	576.1656852
458	576.1242587
459	576.1105557
460	576.1090284
461	576.0929178
462	576.0915761
463	576.0879957
464	576.0671671
465	576.0488154
466	575.7274766
467	575.7242302
468	575.7118194
469	575.7106092
470	575.6644216
471	575.6170248
472	575.5797017
473	575.4910633
474	575.4711615
475	575.4697488
476	575.365154
477	575.3618009
478	575.3491422
479	575.347849
480	575.3449129
481	575.2886381
482	575.2027143
483	575.2014369
484	575.1740624
485	575.1712691
486	575.0612841
487	575.0425171
488	575.0413154
489	574.9572668
490	574.8644644
491	574.7171756
492	574.7115872
493	574.3977322
494	574.395094
495	574.3782326
496	574.3591733
497	574.3563648
498	574.3538122
499	574.3146952
500	574.3136339
501	574.3111929
502	574.3094256
503	574.2681848
504	574.2658323
505	574.2494442
506	574.2308394
507	574.2298685
508	574.2078136
509	574.2031817
510	574.1761761
511	574.1363539
512	574.1187633
513	574.1066985
514	574.0941263
515	573.9885705
516	573.987619
517	573.8549655
518	573.8330072
519	573.7713598
520	573.7524598
521	573.7501896
522	573.7479952
523	573.7458546
524	573.7437828
525	573.7429083
526	573.6503474
527	573.6317375
528	573.6297566
529	573.4991143
530	573.3239463
531	573.3022856
532	573.2358856
533	573.2339868
534	573.221394
535	573.2195359
536	573.1412331
537	573.0601738
538	573.058392
539	572.9959197
540	572.8847537
541	572.8830048
542	572.8440741
543	572.7975045
544	572.7967802
545	572.6870027
546	572.6689434
547	572.6679836
548	572.3632288
549	572.3460432
550	572.253249
551	572.1451579
552	572.0311009
553	572.0041492
554	571.9876931
555	571.9860012
556	571.9547736
557	571.9531526
558	571.937084
559	571.9355086
560	571.9254466
561	571.92473
562	571.7979349
563	571.7605553
564	571.7572428
565	571.7360695
566	571.7096951
567	571.6014101
568	571.5101755
569	571.5093961
570	571.4767611
571	571.450415
572	571.3967589
573	571.3777715
574	571.3129833
575	571.3051836
576	571.2878136
577	571.2848328
578	571.1779744
579	571.1764195
580	571.1507201
581	571.0665528
582	570.9286884
583	570.8062216
584	570.7002878
585	570.5003728
586	570.4901015
587	570.4466162
588	570.3823792
589	570.3809051
